,Rank,Country,Stability(15%),Rights(20%),Health(15%),Safety(10%),Climate(15%),Costs(15%),Popularity(10%),TotalQuality of life(100%),Rank,RankingClass
79,80,Mexico,46,37,54,52,83,34,69,52,0.5,50
80,81,Kazakhstan,54,36,69,82,40,60,33,52,0.5,50
81,82,Vietnam,67,35,54,76,52,51,33,52,0.5,50
82,83,Indonesia,61,44,39,98,39,54,38,51,0.5,50
83,84,Bolivia,57,28,45,68,85,51,33,51,0.5,50
84,85,Moldova,51,41,67,84,40,62,15,51,0.5,50
85,86,Trinidad and Tobago,68,50,61,39,51,48,30,51,0.5,50
86,87,Timor-Leste,65,37,42,42,72,67,23,51,0.5,50
87,88,Ukraine,42,36,71,82,33,60,38,50,0.5,50
88,89,Egypt,36,26,44,83,68,59,52,50,0.5,50
89,90,Brazil,37,45,63,60,65,44,35,50,0.5,50
90,91,Dominican Republic,50,41,52,67,60,49,30,50,0.5,50
91,92,Jamaica,55,52,51,37,73,47,18,50,0.5,50
92,93,Madagascar,49,28,22,86,77,66,33,50,0.5,50
93,94,Tanzania,51,34,21,57,88,56,46,49,0.5,50
94,95,Russia,47,26,74,75,33,62,42,49,0.5,50
95,96,Ghana,48,51,26,95,56,42,38,49,0.5,50
96,97,Nepal,53,35,34,89,56,57,28,49,0.5,50
97,98,Malawi,42,38,20,78,82,50,40,49,0.5,50
98,99,Kenya,41,33,25,72,92,45,44,48,0.5,50
99,100,Suriname,44,43,50,73,35,62,38,48,0.5,50
100,101,Laos,68,19,30,76,48,73,34,48,0.5,50
101,102,Colombia,47,46,62,30,61,46,28,48,0.5,50
102,103,Pakistan,24,26,31,92,72,63,41,47,0.5,50
103,104,Philippines,52,39,45,67,49,46,34,47,0.5,50
104,105,Gambia,47,38,21,79,57,58,31,46,0.5,50
105,106,Kyrgyzstan,36,27,57,58,48,71,30,46,0.5,50
106,107,Azerbaijan,46,24,70,38,56,64,19,46,0.5,50
107,108,Honduras,46,26,46,43,78,57,23,46,0.5,50
108,109,Guatemala,52,28,44,71,61,45,26,46,0.5,50
109,110,Bangladesh,43,26,44,74,50,61,33,45,0.5,50
110,111,Lebanon,10,25,65,76,71,41,46,45,0.5,50
111,112,El Salvador,59,39,49,21,66,50,14,45,0.5,50
112,113,Belarus,37,28,82,81,22,40,37,44,0.4,40
113,114,Cambodia,56,19,28,68,52,66,35,44,0.4,40
114,115,Uganda,48,30,14,62,71,57,37,44,0.4,40
115,116,Zambia,34,32,18,60,68,58,47,44,0.4,40
116,117,Lesotho,36,40,12,24,89,57,37,43,0.4,40
117,118,Gabon,48,25,32,52,44,46,73,43,0.4,40
118,119,Burma,31,24,32,63,50,73,33,42,0.4,40
119,120,Nicaragua,45,18,45,73,61,41,25,42,0.4,40
120,121,Togo,49,29,12,75,50,54,39,42,0.4,40
121,122,Tajikistan,51,13,53,58,48,51,34,42,0.4,40
122,123,Ivory Coast,47,36,11,58,52,57,37,42,0.4,40
123,124,Iran,19,15,60,79,56,43,40,42,0.4,40
124,125,Ethiopia,27,31,16,31,81,63,43,42,0.4,40
125,126,Burundi,31,11,9,62,76,66,54,41,0.4,40
126,127,Sierra Leone,38,34,6,69,43,64,48,41,0.4,40
127,128,Zimbabwe,29,14,13,74,91,37,36,39,0.4,40
128,129,Angola,27,24,10,55,63,53,31,36,0.4,40
129,130,Mozambique,36,26,10,4,80,53,36,36,0.4,40
130,131,Afghanistan,28,9,20,19,58,63,63,35,0.4,40
131,132,Iraq,16,12,42,29,37,75,33,34,0.3,30
132,133,Cameroon,40,19,9,27,60,51,34,34,0.3,30
133,134,Nigeria,18,24,12,23,53,57,41,32,0.3,30
134,135,Chad,46,12,0,31,50,49,44,32,0.3,30
135,136,Sudan,8,11,18,55,40,66,24,30,0.3,30
136,137,Congo (Dem. Republic),32,7,6,10,54,60,36,29,0.3,30
